date,total days,total deaths
2020-03-13,1,1
2020-03-14,2,2
2020-03-15,3,2
2020-03-16,4,2
2020-03-17,5,3
2020-03-18,6,3
2020-03-19,7,3
2020-03-20,8,4
2020-03-21,9,4
2020-03-22,10,4
2020-03-23,11,7
2020-03-24,12,9
2020-03-25,13,9
2020-03-26,14,13
2020-03-27,15,17
2020-03-28,16,19
2020-03-29,17,25
2020-03-30,18,29
2020-03-31,19,32
2020-04-01,20,35
2020-04-02,21,50
2020-04-03,22,56
2020-04-04,23,68
2020-04-05,24,77
2020-04-06,25,109
2020-04-07,26,114
2020-04-08,27,149
2020-04-09,28,166
2020-04-10,29,199
2020-04-11,30,239
2020-04-12,31,273
2020-04-13,32,308
2020-04-14,33,339
2020-04-15,34,377
2020-04-16,35,414
2020-04-17,36,437
2020-04-18,37,480
2020-04-19,38,507
2020-04-20,39,543
2020-04-21,40,590
2020-04-22,41,640
2020-04-23,42,681
2020-04-24,43,718
2020-04-25,44,775
2020-04-26,45,824
2020-04-27,46,872
2020-04-28,47,934
2020-04-29,48,1007
2020-04-30,49,1074
2020-05-01,50,1147
2020-05-02,51,1218
2020-05-03,52,1301
2020-05-04,53,1373
2020-05-05,54,1568
2020-05-06,55,1694
2020-05-07,56,1783
2020-05-08,57,1886
2020-05-09,58,1981
2020-05-10,59,2109
2020-05-11,60,2206
2020-05-12,61,2293
2020-05-13,62,2415
2020-05-14,63,2549
